Employee ID,First Name,Last Name,Contact Number,Gender
e00001,Christopher,Thomas,7123456790,Male
e00002,Isabella,Collins,9123456788,Female
e00003,James,Allen,3123456788,Male
e00004,Elizabeth,Morris,4123456790,Female
e00005,David,Clark,6123456790,Male
e00006,Sophia,Young,8123456788,Female
e00007,Matthew,Adams,2123456790,Male
e00008,Olivia,Hall,5123456790,Female
e00009,Ethan,Russell,7123456785,Male
e00010,Emma,Watson,9123456786,Female
e00011,Alexander,Ross,1123456790,Male
e00012,Ava,Parker,2123456790,Female
e00013,Daniel,Wright,7123456783,Male
e00014,Mia,Lewis,8123456790,Female
e00015,Benjamin,King,3123456790,Male
e00016,Emily,Scott,4123456783,Female
e00017,Jackson,Walker,5123456785,Male
e00018,Grace,Green,7123456789,Female
e00019,William,Hill,9123456784,Male
e00020,Madison,Morgan,1123456783,Female
e00021,Liam,Turner,2123456787,Male
e00022,Chloe,Baker,4123456790,Female
e00023,Ryan,Young,5123456783,Male
